Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
1,12,West,0.0386721,1229,5,,
2,12,CBD,0.0255714,819,10,,
2,12,Central,0.3035781,9723,0,,
2,12,Central East,0.0492069,1576,1,,
2,12,East,0.1021606,3272,4,,
2,12,North,0.0396216,1269,2,,
2,12,North East,0.0353753,1133,8,,
2,12,North West,0.0388410,1244,9,,
2,12,South,0.1209567,3874,3,,
2,12,South East,0.1379418,4418,7,,
2,12,South West,0.1070938,3430,6,,
2,12,West,0.0396528,1270,5,,
3,12,CBD,0.0102830,294,10,,
3,12,Central,0.2906509,8310,0,,
3,12,Central East,0.0481620,1377,1,,
3,12,East,0.1106992,3165,4,,
3,12,North,0.0511000,1461,2,,
3,12,North East,0.0465531,1331,8,,
3,12,North West,0.0476024,1361,9,,
3,12,South,0.1078311,3083,3,,
3,12,South East,0.1448008,4140,7,,
3,12,South West,0.1056626,3021,6,,
3,12,West,0.0366549,1048,5,,
4,12,CBD,0.0085761,237,10,,
4,12,Central,0.2936855,8116,0,,
4,12,Central East,0.0434956,1202,1,,
4,12,East,0.1125746,3111,4,,
4,12,North,0.0531210,1468,2,,
4,12,North East,0.0474037,1310,8,,
4,12,North West,0.0488873,1351,9,,
4,12,South,0.1078343,2980,3,,
4,12,South East,0.1582775,4374,7,,
4,12,South West,0.0928895,2567,6,,
4,12,West,0.0332549,919,5,,
5,12,CBD,0.0255448,776,10,,
5,12,Central,0.3017644,9167,0,,
5,12,Central East,0.0492132,1495,1,,
5,12,East,0.1064586,3234,4,,
5,12,North,0.0469089,1425,2,,
5,12,North East,0.0378893,1151,8,,
5,12,North West,0.0420370,1277,9,,
5,12,South,0.1154454,3507,3,,
5,12,South East,0.1334848,4055,7,,
5,12,South West,0.1024096,3111,6,,
5,12,West,0.0388439,1180,5,,
1,13,CBD,0.0263014,866,10,,
1,13,Central,0.3031343,9981,0,,
1,13,Central East,0.0495353,1631,1,,
1,13,East,0.0950313,3129,4,,
1,13,North,0.0455263,1499,2,,
1,13,North East,0.0373565,1230,8,,
1,13,North West,0.0421248,1387,9,,
1,13,South,0.1159570,3818,3,,
1,13,South East,0.1386746,4566,7,,
1,13,South West,0.1093968,3602,6,,
1,13,West,0.0369617,1217,5,,
2,13,CBD,0.0246461,813,10,,
2,13,Central,0.3042107,10035,0,,
2,13,Central East,0.0481705,1589,1,,
2,13,East,0.1044351,3445,4,,
2,13,North,0.0425319,1403,2,,
2,13,North East,0.0390154,1287,8,,
2,13,North West,0.0399551,1318,9,,
2,13,South,0.1192591,3934,3,,
2,13,South East,0.1387819,4578,7,,
2,13,South West,0.1020402,3366,6,,
2,13,West,0.0369540,1219,5,,
3,13,CBD,0.0115574,341,10,,
3,13,Central,0.2942552,8682,0,,
3,13,Central East,0.0504660,1489,1,,
3,13,East,0.1086595,3206,4,,
3,13,North,0.0526013,1552,2,,
3,13,North East,0.0470090,1387,8,,
3,13,North West,0.0516862,1525,9,,
3,13,South,0.1010337,2981,3,,
3,13,South East,0.1442467,4256,7,,
3,13,South West,0.1023216,3019,6,,
3,13,West,0.0361634,1067,5,,
4,13,CBD,0.0079979,216,10,,
4,13,Central,0.2904802,7845,0,,
4,13,Central East,0.0462102,1248,1,,
4,13,East,0.1205243,3255,4,,
4,13,North,0.0573555,1549,2,,
4,13,North East,0.0475062,1283,8,,
4,13,North West,0.0537638,1452,9,,
4,13,South,0.0991224,2677,3,,
4,13,South East,0.1515163,4092,7,,
4,13,South West,0.0904951,2444,6,,
4,13,West,0.0350280,946,5,,
5,13,CBD,0.0270122,838,10,,
5,13,Central,0.3018406,9364,0,,
5,13,Central East,0.0497051,1542,1,,
5,13,East,0.1054379,3271,4,,
5,13,North,0.0455146,1412,2,,
5,13,North East,0.0396480,1230,8,,
5,13,North West,0.0443864,1377,9,,
5,13,South,0.1123682,3486,3,,
5,13,South East,0.1331593,4131,7,,
5,13,South West,0.1041485,3231,6,,
5,13,West,0.0367792,1141,5,,
1,14,CBD,0.0261884,855,10,,
1,14,Central,0.3014886,9843,0,,
1,14,Central East,0.0489157,1597,1,,
1,14,East,0.1017520,3322,4,,
1,14,North,0.0457915,1495,2,,
1,14,North East,0.0381340,1245,8,,
1,14,North West,0.0408601,1334,9,,
1,14,South,0.1127481,3681,3,,
1,14,South East,0.1351384,4412,7,,
1,14,South West,0.1106653,3613,6,,
1,14,West,0.0383178,1251,5,,
2,14,CBD,0.0251078,844,10,,
2,14,Central,0.2964153,9964,0,,
2,14,Central East,0.0495612,1666,1,,
2,14,East,0.1045962,3516,4,,
2,14,North,0.0451287,1517,2,,
2,14,North East,0.0378700,1273,8,,
2,14,North West,0.0412018,1385,9,,
2,14,South,0.1153354,3877,3,,
2,14,South East,0.1408300,4734,7,,
2,14,South West,0.1065893,3583,6,,
2,14,West,0.0373643,1256,5,,
3,14,CBD,0.0101112,300,10,,
3,14,Central,0.2841254,8430,0,,
3,14,Central East,0.0504887,1498,1,,
3,14,East,0.1139535,3381,4,,
3,14,North,0.0546006,1620,2,,
3,14,North East,0.0490731,1456,8,,
3,14,North West,0.0536906,1593,9,,
3,14,South,0.0990900,2940,3,,
3,14,South East,0.1491743,4426,7,,
3,14,South West,0.0980115,2908,6,,
3,14,West,0.0376812,1118,5,,
4,14,CBD,0.0086617,235,10,,
4,14,Central,0.2815230,7638,0,,
4,14,Central East,0.0455199,1235,1,,
4,14,East,0.1281928,3478,4,,
4,14,North,0.0616638,1673,2,,
4,14,North East,0.0453725,1231,8,,
4,14,North West,0.0533338,1447,9,,
4,14,South,0.1011758,2745,3,,
4,14,South East,0.1515609,4112,7,,
4,14,South West,0.0863219,2342,6,,
4,14,West,0.0366739,995,5,,
5,14,CBD,0.0274974,839,10,,
5,14,Central,0.3092554,9436,0,,
5,14,Central East,0.0476534,1454,1,,
5,14,East,0.1049095,3201,4,,
5,14,North,0.0443432,1353,2,,
5,14,North East,0.0359858,1098,8,,
5,14,North West,0.0390666,1192,9,,
5,14,South,0.1153644,3520,3,,
5,14,South East,0.1331935,4064,7,,
5,14,South West,0.1039919,3173,6,,
5,14,West,0.0387389,1182,5,,
1,15,CBD,0.0255199,778,10,,
1,15,Central,0.2901988,8847,0,,
1,15,Central East,0.0523191,1595,1,,
1,15,East,0.1105753,3371,4,,
1,15,North,0.0529423,1614,2,,
1,15,North East,0.0348685,1063,8,,
1,15,North West,0.0405760,1237,9,,
1,15,South,0.1091321,3327,3,,
1,15,South East,0.1352424,4123,7,,
1,15,South West,0.1080496,3294,6,,
1,15,West,0.0405760,1237,5,,
2,15,CBD,0.0242547,755,10,,
2,15,Central,0.2887111,8987,0,,
2,15,Central East,0.0488306,1520,1,,
2,15,East,0.1182215,3680,4,,
2,15,North,0.0479954,1494,2,,
2,15,North East,0.0378759,1179,8,,
2,15,North West,0.0401568,1250,9,,
2,15,South,0.1102223,3431,3,,
2,15,South East,0.1385248,4312,7,,
2,15,South West,0.1072346,3338,6,,
2,15,West,0.0379722,1182,5,,
3,15,CBD,0.0092695,267,10,,
3,15,Central,0.2739897,7892,0,,
3,15,Central East,0.0497500,1433,1,,
3,15,East,0.1257464,3622,4,,
3,15,North,0.0553395,1594,2,,
3,15,North East,0.0477364,1375,8,,
3,15,North West,0.0532565,1534,9,,
3,15,South,0.1057839,3047,3,,
3,15,South East,0.1432440,4126,7,,
3,15,South West,0.0976600,2813,6,,
3,15,West,0.0382239,1101,5,,
4,15,CBD,0.0085987,222,10,,
4,15,Central,0.2713998,7007,0,,
4,15,Central East,0.0450074,1162,1,,
4,15,East,0.1395151,3602,4,,
4,15,North,0.0594159,1534,2,,
4,15,North East,0.0445038,1149,8,,
4,15,North West,0.0524440,1354,9,,
4,15,South,0.0990782,2558,3,,
4,15,South East,0.1543109,3984,7,,
4,15,South West,0.0895887,2313,6,,
4,15,West,0.0361376,933,5,,
5,15,CBD,0.0270214,773,10,,
5,15,Central,0.3034922,8682,0,,
5,15,Central East,0.0518754,1484,1,,
5,15,East,0.1159856,3318,4,,
5,15,North,0.0441151,1262,2,,
5,15,North East,0.0332786,952,8,,
5,15,North West,0.0360052,1030,9,,
5,15,South,0.1100780,3149,3,,
5,15,South East,0.1296885,3710,7,,
5,15,South West,0.1102877,3155,6,,
5,15,West,0.0381725,1092,5,,
1,16,CBD,0.0216535,610,10,,
1,16,Central,0.2796493,7878,0,,
1,16,Central East,0.0547016,1541,1,,
1,16,East,0.1149764,3239,4,,
1,16,North,0.0564055,1589,2,,
1,16,North East,0.0400767,1129,8,,
1,16,North West,0.0427390,1204,9,,
1,16,South,0.1063860,2997,3,,
1,16,South East,0.1337191,3767,7,,
1,16,South West,0.1089773,3070,6,,
1,16,West,0.0407156,1147,5,,
2,16,CBD,0.0212091,608,10,,
2,16,Central,0.2752642,7891,0,,
2,16,Central East,0.0504064,1445,1,,
2,16,East,0.1240102,3555,4,,
2,16,North,0.0520110,1491,2,,
2,16,North East,0.0379879,1089,8,,
2,16,North West,0.0428716,1229,9,,
2,16,South,0.1095685,3141,3,,
2,16,South East,0.1386961,3976,7,,
2,16,South West,0.1072662,3075,6,,
2,16,West,0.0407088,1167,5,,
3,16,CBD,0.0093597,258,10,,
3,16,Central,0.2554326,7041,0,,
3,16,Central East,0.0480319,1324,1,,
3,16,East,0.1292944,3564,4,,
3,16,North,0.0620352,1710,2,,
3,16,North East,0.0502812,1386,8,,
3,16,North West,0.0546708,1507,9,,
3,16,South,0.1091239,3008,3,,
3,16,South East,0.1446399,3987,7,,
3,16,South West,0.0966806,2665,6,,
3,16,West,0.0404498,1115,5,,
4,16,CBD,0.0065153,159,10,,
4,16,Central,0.2670054,6516,0,,
4,16,Central East,0.0456892,1115,1,,
4,16,East,0.1438699,3511,4,,
4,16,North,0.0653581,1595,2,,
4,16,North East,0.0463039,1130,8,,
4,16,North West,0.0530651,1295,9,,
4,16,South,0.0983445,2400,3,,
4,16,South East,0.1453860,3548,7,,
4,16,South West,0.0884691,2159,6,,
4,16,West,0.0399934,976,5,,
5,16,CBD,0.0224202,609,10,,
5,16,Central,0.2924567,7944,0,,
5,16,Central East,0.0486323,1321,1,,
5,16,East,0.1286309,3494,4,,
5,16,North,0.0472702,1284,2,,
5,16,North East,0.0319920,869,8,,
5,16,North West,0.0391709,1064,9,,
5,16,South,0.1083091,2942,3,,
5,16,South East,0.1278577,3473,7,,
5,16,South West,0.1101498,2992,6,,
5,16,West,0.0431101,1171,5,,
1,17,CBD,0.0237320,663,10,,
1,17,Central,0.2666714,7450,0,,
1,17,Central East,0.0532627,1488,1,,
1,17,East,0.1290045,3604,4,,
1,17,North,0.0638938,1785,2,,
1,17,North East,0.0417010,1165,8,,
1,17,North West,0.0476787,1332,9,,
1,17,South,0.1003329,2803,3,,
1,17,South East,0.1350181,3772,7,,
1,17,South West,0.0986863,2757,6,,
1,17,West,0.0400186,1118,5,,
2,17,CBD,0.0212262,600,10,,
2,17,Central,0.2598436,7345,0,,
2,17,Central East,0.0506952,1433,1,,
2,17,East,0.1371210,3876,4,,
2,17,North,0.0640323,1810,2,,
2,17,North East,0.0411080,1162,8,,
2,17,North West,0.0491739,1390,9,,
2,17,South,0.1046804,2959,3,,
2,17,South East,0.1355644,3832,7,,
2,17,South West,0.0958715,2710,6,,
2,17,West,0.0406835,1150,5,,
3,17,CBD,0.0097708,275,10,,
3,17,Central,0.2675786,7531,0,,
3,17,Central East,0.0500622,1409,1,,
3,17,East,0.1328478,3739,4,,
3,17,North,0.0630307,1774,2,,
3,17,North East,0.0486765,1370,8,,
3,17,North West,0.0542903,1528,9,,
3,17,South,0.1042814,2935,3,,
3,17,South East,0.1357257,3820,7,,
3,17,South West,0.0914194,2573,6,,
3,17,West,0.0423166,1191,5,,
4,17,CBD,0.0083669,216,10,,
4,17,Central,0.2648358,6837,0,,
4,17,Central East,0.0474899,1226,1,,
4,17,East,0.1464208,3780,4,,
4,17,North,0.0605051,1562,2,,
4,17,North East,0.0481484,1243,8,,
4,17,North West,0.0549272,1418,9,,
4,17,South,0.1021460,2637,3,,
4,17,South East,0.1423923,3676,7,,
4,17,South West,0.0857608,2214,6,,
4,17,West,0.0390068,1007,5,,
5,17,CBD,0.0284649,771,10,,
5,17,Central,0.2853504,7729,0,,
5,17,Central East,0.0486967,1319,1,,
5,17,East,0.1233848,3342,4,,
5,17,North,0.0533855,1446,2,,
5,17,North East,0.0348520,944,8,,
5,17,North West,0.0402053,1089,9,,
5,17,South,0.1087278,2945,3,,
5,17,South East,0.1316547,3566,7,,
5,17,South West,0.1031898,2795,6,,
5,17,West,0.0420882,1140,5,,
1,18,CBD,0.0220452,631,10,,
1,18,Central,0.2649617,7584,0,,
1,18,Central East,0.0552702,1582,1,,
1,18,East,0.1269958,3635,4,,
1,18,North,0.0586941,1680,2,,
1,18,North East,0.0398980,1142,8,,
1,18,North West,0.0443000,1268,9,,
1,18,South,0.1086189,3109,3,,
1,18,South East,0.1446389,4140,7,,
1,18,South West,0.0939454,2689,6,,
1,18,West,0.0406317,1163,5,,
2,18,CBD,0.0209922,625,10,,
2,18,Central,0.2566419,7641,0,,
2,18,Central East,0.0557216,1659,1,,
2,18,East,0.1361636,4054,4,,
2,18,North,0.0575018,1712,2,,
2,18,North East,0.0379539,1130,8,,
2,18,North West,0.0464179,1382,9,,
2,18,South,0.1047593,3119,3,,
2,18,South East,0.1440567,4289,7,,
2,18,South West,0.0962281,2865,6,,
2,18,West,0.0435630,1297,5,,
3,18,CBD,0.0108293,336,10,,
3,18,Central,0.2648339,8217,0,,
3,18,Central East,0.0525349,1630,1,,
3,18,East,0.1298546,4029,4,,
3,18,North,0.0603668,1873,2,,
3,18,North East,0.0494730,1535,8,,
3,18,North West,0.0540497,1677,9,,
3,18,South,0.1036839,3217,3,,
3,18,South East,0.1411996,4381,7,,
3,18,South West,0.0909208,2821,6,,
3,18,West,0.0422535,1311,5,,
4,18,CBD,0.0077388,178,10,,
4,18,Central,0.2642059,6077,0,,
4,18,Central East,0.0484327,1114,1,,
4,18,East,0.1444720,3323,4,,
4,18,North,0.0662145,1523,2,,
4,18,North East,0.0425634,979,8,,
4,18,North West,0.0508674,1170,9,,
4,18,South,0.1096909,2523,3,,
4,18,South East,0.1449502,3334,7,,
4,18,South West,0.0829529,1908,6,,
4,18,West,0.0379114,872,5,,
5,18,CBD,0.0257248,724,10,,
5,18,Central,0.2809480,7907,0,,
5,18,Central East,0.0507746,1429,1,,
5,18,East,0.1140208,3209,4,,
5,18,North,0.0544699,1533,2,,
5,18,North East,0.0343945,968,8,,
5,18,North West,0.0368818,1038,9,,
5,18,South,0.1183556,3331,3,,
5,18,South East,0.1383243,3893,7,,
5,18,South West,0.1055287,2970,6,,
5,18,West,0.0405770,1142,5,,
1,19,CBD,0.0256300,775,10,,
1,19,Central,0.2760765,8348,0,,
1,19,Central East,0.0486805,1472,1,,
1,19,East,0.1215027,3674,4,,
1,19,North,0.0548647,1659,2,,
1,19,North East,0.0361466,1093,8,,
1,19,North West,0.0385608,1166,9,,
1,19,South,0.1147893,3471,3,,
1,19,South East,0.1382697,4181,7,,
1,19,South West,0.1042397,3152,6,,
1,19,West,0.0412395,1247,5,,
2,19,CBD,0.0238000,773,10,,
2,19,Central,0.2762092,8971,0,,
2,19,Central East,0.0473845,1539,1,,
2,19,East,0.1300225,4223,4,,
2,19,North,0.0554820,1802,2,,
2,19,North East,0.0366391,1190,8,,
2,19,North West,0.0415653,1350,9,,
2,19,South,0.1101635,3578,3,,
2,19,South East,0.1389513,4513,7,,
2,19,South West,0.1003725,3260,6,,
2,19,West,0.0394101,1280,5,,
3,19,CBD,0.0112082,250,10,,
3,19,Central,0.2838825,6332,0,,
3,19,Central East,0.0523201,1167,1,,
3,19,East,0.1167003,2603,4,,
3,19,North,0.0596279,1330,2,,
3,19,North East,0.0459090,1024,8,,
3,19,North West,0.0474781,1059,9,,
3,19,South,0.1124860,2509,3,,
3,19,South East,0.1447209,3228,7,,
3,19,South West,0.0909213,2028,6,,
3,19,West,0.0347456,775,5,,
4,19,CBD,0.0085537,198,10,,
4,19,Central,0.2746674,6358,0,,
4,19,Central East,0.0479091,1109,1,,
4,19,East,0.1340073,3102,4,,
4,19,North,0.0616036,1426,2,,
4,19,North East,0.0432867,1002,8,,
4,19,North West,0.0465699,1078,9,,
4,19,South,0.1081735,2504,3,,
4,19,South East,0.1496458,3464,7,,
4,19,South West,0.0862278,1996,6,,
4,19,West,0.0393555,911,5,,
5,19,CBD,0.0297557,860,10,,
5,19,Central,0.2884229,8336,0,,
5,19,Central East,0.0451872,1306,1,,
5,19,East,0.1120684,3239,4,,
5,19,North,0.0532143,1538,2,,
5,19,North East,0.0332157,960,8,,
5,19,North West,0.0365719,1057,9,,
5,19,South,0.1220677,3528,3,,
5,19,South East,0.1370493,3961,7,,
5,19,South West,0.1002007,2896,6,,
5,19,West,0.0422462,1221,5,,
1,20,CBD,0.0310218,943,10,,
1,20,Central,0.2882426,8762,0,,
1,20,Central East,0.0483913,1471,1,,
1,20,East,0.1242187,3776,4,,
1,20,North,0.0518784,1577,2,,
1,20,North East,0.0339825,1033,8,,
1,20,North West,0.0371735,1130,9,,
1,20,South,0.1123758,3416,3,,
1,20,South East,0.1319495,4011,7,,
1,20,South West,0.0973419,2959,6,,
1,20,West,0.0434239,1320,5,,
2,20,CBD,0.0297008,970,10,,
2,20,Central,0.2836584,9264,0,,
2,20,Central East,0.0466028,1522,1,,
2,20,East,0.1268869,4144,4,,
2,20,North,0.0518999,1695,2,,
2,20,North East,0.0343550,1122,8,,
2,20,North West,0.0383049,1251,9,,
2,20,South,0.1176399,3842,3,,
2,20,South East,0.1359809,4441,7,,
2,20,South West,0.0943691,3082,6,,
2,20,West,0.0406014,1326,5,,
3,20,CBD,0.0124138,308,10,,
3,20,Central,0.2873322,7129,0,,
3,20,Central East,0.0507436,1259,1,,
3,20,East,0.1160372,2879,4,,
3,20,North,0.0589255,1462,2,,
3,20,North East,0.0412720,1024,8,,
3,20,North West,0.0457458,1135,9,,
3,20,South,0.1162388,2884,3,,
3,20,South East,0.1471122,3650,7,,
3,20,South West,0.0874612,2170,6,,
3,20,West,0.0367176,911,5,,
4,20,CBD,0.0097803,235,10,,
4,20,Central,0.2800483,6729,0,,
4,20,Central East,0.0438239,1053,1,,
4,20,East,0.1557766,3743,4,,
4,20,North,0.0618861,1487,2,,
4,20,North East,0.0389129,935,8,,
4,20,North West,0.0459464,1104,9,,
4,20,South,0.1132013,2720,3,,
4,20,South East,0.1330947,3198,7,,
4,20,South West,0.0789496,1897,6,,
4,20,West,0.0385800,927,5,,
5,20,CBD,0.0316996,910,10,,
5,20,Central,0.2950152,8469,0,,
5,20,Central East,0.0470269,1350,1,,
5,20,East,0.1139792,3272,4,,
5,20,North,0.0509980,1464,2,,
5,20,North East,0.0328143,942,8,,
5,20,North West,0.0351482,1009,9,,
5,20,South,0.1206674,3464,3,,
5,20,South East,0.1353677,3886,7,,
5,20,South West,0.0951684,2732,6,,
5,20,West,0.0421152,1209,5,,
1,21,CBD,0.0307935,919,10,,
1,21,Central,0.3004289,8966,0,,
1,21,Central East,0.0498928,1489,1,,
1,21,East,0.1092012,3259,4,,
1,21,North,0.0485190,1448,2,,
1,21,North East,0.0358531,1070,8,,
1,21,North West,0.0383662,1145,9,,
1,21,South,0.1081960,3229,3,,
1,21,South East,0.1378166,4113,7,,
1,21,South West,0.0971720,2900,6,,
1,21,West,0.0437609,1306,5,,
2,21,CBD,0.0322264,1018,10,,
2,21,Central,0.3014340,9522,0,,
2,21,Central East,0.0462819,1462,1,,
2,21,East,0.1108930,3503,4,,
2,21,North,0.0500491,1581,2,,
2,21,North East,0.0350755,1108,8,,
2,21,North West,0.0414068,1308,9,,
2,21,South,0.1180791,3730,3,,
2,21,South East,0.1353003,4274,7,,
2,21,South West,0.0915509,2892,6,,
2,21,West,0.0377030,1191,5,,
3,21,CBD,0.0155514,416,10,,
3,21,Central,0.3022430,8085,0,,
3,21,Central East,0.0432897,1158,1,,
3,21,East,0.1150280,3077,4,,
3,21,North,0.0541682,1449,2,,
3,21,North East,0.0419439,1122,8,,
3,21,North West,0.0486729,1302,9,,
3,21,South,0.1191402,3187,3,,
3,21,South East,0.1411589,3776,7,,
3,21,South West,0.0830654,2222,6,,
3,21,West,0.0357383,956,5,,
4,21,CBD,0.0088808,204,10,,
4,21,Central,0.2928040,6726,0,,
4,21,Central East,0.0426190,979,1,,
4,21,East,0.1371294,3150,4,,
4,21,North,0.0598581,1375,2,,
4,21,North East,0.0417918,960,8,,
4,21,North West,0.0497584,1143,9,,
4,21,South,0.1144487,2629,3,,
4,21,South East,0.1377389,3164,7,,
4,21,South West,0.0767054,1762,6,,
4,21,West,0.0382656,879,5,,
5,21,CBD,0.0347680,971,10,,
5,21,Central,0.3171727,8858,0,,
5,21,Central East,0.0486608,1359,1,,
5,21,East,0.1105342,3087,4,,
5,21,North,0.0493770,1379,2,,
5,21,North East,0.0297551,831,8,,
5,21,North West,0.0360212,1006,9,,
5,21,South,0.1174091,3279,3,,
5,21,South East,0.1271484,3551,7,,
5,21,South West,0.0923088,2578,6,,
5,21,West,0.0368447,1029,5,,
1,22,CBD,0.0333109,890,10,,
1,22,Central,0.3103900,8293,0,,
1,22,Central East,0.0464481,1241,1,,
1,22,East,0.1182349,3159,4,,
1,22,North,0.0510517,1364,2,,
1,22,North East,0.0321880,860,8,,
1,22,North West,0.0346209,925,9,,
1,22,South,0.1121341,2996,3,,
1,22,South East,0.1338798,3577,7,,
1,22,South West,0.0931207,2488,6,,
1,22,West,0.0346209,925,5,,
2,22,CBD,0.0291605,874,10,,
2,22,Central,0.3004137,9004,0,,
2,22,Central East,0.0476445,1428,1,,
2,22,East,0.1217803,3650,4,,
2,22,North,0.0522821,1567,2,,
2,22,North East,0.0353663,1060,8,,
2,22,North West,0.0388029,1163,9,,
2,22,South,0.1106032,3315,3,,
2,22,South East,0.1372281,4113,7,,
2,22,South West,0.0902175,2704,6,,
2,22,West,0.0365007,1094,5,,
3,22,CBD,0.0181094,482,10,,
3,22,Central,0.3116171,8294,0,,
3,22,Central East,0.0453487,1207,1,,
3,22,East,0.1097460,2921,4,,
3,22,North,0.0538022,1432,2,,
3,22,North East,0.0382477,1018,8,,
3,22,North West,0.0454238,1209,9,,
3,22,South,0.1210926,3223,3,,
3,22,South East,0.1423204,3788,7,,
3,22,South West,0.0807033,2148,6,,
3,22,West,0.0335888,894,5,,
4,22,CBD,0.0088816,184,10,,
4,22,Central,0.2844041,5892,0,,
4,22,Central East,0.0474007,982,1,,
4,22,East,0.1607376,3330,4,,
4,22,North,0.0646329,1339,2,,
4,22,North East,0.0378916,785,8,,
4,22,North West,0.0465318,964,9,,
4,22,South,0.1069653,2216,3,,
4,22,South East,0.1380026,2859,7,,
4,22,South West,0.0699426,1449,6,,
4,22,West,0.0346093,717,5,,
5,22,CBD,0.0359539,852,10,,
5,22,Central,0.3254420,7712,0,,
5,22,Central East,0.0436764,1035,1,,
5,22,East,0.1096763,2599,4,,
5,22,North,0.0469258,1112,2,,
5,22,North East,0.0298772,708,8,,
5,22,North West,0.0352365,835,9,,
5,22,South,0.1202684,2850,3,,
5,22,South East,0.1340676,3177,7,,
5,22,South West,0.0838925,1988,6,,
5,22,West,0.0349833,829,5,,
1,23,CBD,0.0398220,886,10,,
1,23,Central,0.3327341,7403,0,,
1,23,Central East,0.0429682,956,1,,
1,23,East,0.1210841,2694,4,,
1,23,North,0.0441368,982,2,,
1,23,North East,0.0308778,687,8,,
1,23,North West,0.0311025,692,9,,
1,23,South,0.1236011,2750,3,,
1,23,South East,0.1281406,2851,7,,
1,23,South West,0.0767225,1707,6,,
1,23,West,0.0288103,641,5,,
2,23,CBD,0.0366969,1035,10,,
2,23,Central,0.3406254,9607,0,,
2,23,Central East,0.0462346,1304,1,,
2,23,East,0.1147355,3236,4,,
2,23,North,0.0437527,1234,2,,
2,23,North East,0.0342505,966,8,,
2,23,North West,0.0350659,989,9,,
2,23,South,0.1122536,3166,3,,
2,23,South East,0.1257268,3546,7,,
2,23,South West,0.0794923,2242,6,,
2,23,West,0.0311658,879,5,,
3,23,CBD,0.0203303,517,10,,
3,23,Central,0.3272120,8321,0,,
3,23,Central East,0.0484074,1231,1,,
3,23,East,0.1052694,2677,4,,
3,23,North,0.0478175,1216,2,,
3,23,North East,0.0377900,961,8,,
3,23,North West,0.0403460,1026,9,,
3,23,South,0.1139992,2899,3,,
3,23,South East,0.1575305,4006,7,,
3,23,South West,0.0700747,1782,6,,
3,23,West,0.0312230,794,5,,
4,23,CBD,0.0117195,189,10,,
4,23,Central,0.2815155,4540,0,,
4,23,Central East,0.0469399,757,1,,
4,23,East,0.1569418,2531,4,,
4,23,North,0.0638680,1030,2,,
4,23,North East,0.0371427,599,8,,
4,23,North West,0.0439015,708,9,,
4,23,South,0.1023129,1650,3,,
4,23,South East,0.1496249,2413,7,,
4,23,South West,0.0645501,1041,6,,
4,23,West,0.0414832,669,5,,
5,23,CBD,0.0341703,611,10,,
5,23,Central,0.3236396,5787,0,,
5,23,Central East,0.0435658,779,1,,
5,23,East,0.1195683,2138,4,,
5,23,North,0.0418880,749,2,,
5,23,North East,0.0300319,537,8,,
5,23,North West,0.0326604,584,9,,
5,23,South,0.1312007,2346,3,,
5,23,South East,0.1396454,2497,7,,
5,23,South West,0.0704099,1259,6,,
5,23,West,0.0332196,594,5,,
