Region,Code,Destination,Code,Time Taken,Distance (km),TaxiFare,PrivateFare,Difference,TaxiBase,GrabBase,perKMTaxi,perKMGrab,timeTaxi,TimeGrab
CBD,10,Central,0,10,4,8.7,6.1,2.6,3.6,2.5,0.55,0.5,0.29,0.16
CBD,10,Central East,1,20,8,13.8,7.2,6.6,,,,,,
CBD,10,East,4,35,15,22,13.1,8.9,,,,,,
CBD,10,North,2,35,15,22,13.1,8.9,,,,,,
CBD,10,North East,8,25,10,16.35,9,7.35,,,2.6,min,,
CBD,10,North West,9,25,10,16.35,9,7.35,,,12.9,max,,
CBD,10,South,3,20,8,13.8,7.2,6.6,,,10.3,diff,,
CBD,10,South East,7,20,8,13.8,7.2,6.6,,,,,,
CBD,10,South West,6,35,10,19.25,10.6,8.65,,,,,,
CBD,10,West,5,40,15,23.45,13.9,9.55,,,,,,
Central,0,CBD,10,10,4,8.7,3.6,5.1,,,,,,
Central,0,Central East,1,20,8,13.8,7.2,6.6,,,,, ,
Central,0,East,4,30,15,20.55,12.3,8.25,,,,,,
Central,0,North,2,30,15,20.55,12.3,8.25,,,,,,
Central,0,North East,8,30,10,17.8,9.8,8,,,,,,
Central,0,North West,9,30,10,17.8,9.8,8,,,,,,
Central,0,South,3,20,8,13.8,7.2,6.6,,,,,,
Central,0,South East,7,25,8,15.25,8,7.25,,,,,,
Central,0,South West,6,35,10,19.25,10.6,8.65,,,,,,
Central,0,West,5,40,15,23.45,13.9,9.55,,,,,,
Central East,1,CBD,10,20,8,13.8,7.2,6.6,,,,,,
Central East,1,Central,0,20,8,13.8,7.2,6.6,,,,,,
Central East,1,East,4,20,10,14.9,8.2,6.7,,,,,,
Central East,1,North,2,30,10,17.8,9.8,8,,,,,,
Central East,1,North East,8,20,8,13.8,7.2,6.6,,,,,,
Central East,1,North West,9,25,12,17.45,10,7.45,,,,,,
Central East,1,South,3,25,10,16.35,9,7.35,,,,,,
Central East,1,South East,7,15,8,12.35,6.4,5.95,,,,,,
Central East,1,South West,6,30,15,20.55,12.3,8.25,,,,,,
Central East,1,West,5,40,20,26.2,16.4,9.8,,,,,,
East,4,CBD,10,35,15,22,13.1,8.9,,,,,,
East,4,Central,0,30,15,20.55,12.3,8.25,,,,,,
East,4,Central East,1,20,10,14.9,8.2,6.7,,,,,,
East,4,North,2,30,15,20.55,12.3,8.25,,,,,,
East,4,North East,8,20,10,14.9,8.2,6.7,,,,,,
East,4,North West,9,35,20,24.75,15.6,9.15,,,,,,
East,4,South,3,30,15,20.55,12.3,8.25,,,,,,
East,4,South East,7,20,10,14.9,8.2,6.7,,,,,,
East,4,South West,6,40,20,26.2,16.4,9.8,,,,,,
East,4,West,5,60,30,37.5,24.6,12.9,,,,,,
North,2,CBD,10,35,15,22,13.1,8.9,,,,,,
North,2,Central,0,30,15,20.55,12.3,8.25,,,,,,
North,2,Central East,1,30,10,17.8,9.8,8,,,,,,
North,2,East,4,30,15,20.55,12.3,8.25,,,,,,
North,2,North East,8,20,8,13.8,7.2,6.6,,,,,,
North,2,North West,9,20,8,13.8,7.2,6.6,,,,,,
North,2,South,3,45,20,27.65,17.2,10.45,,,,,,
North,2,South East,7,35,15,22,13.1,8.9,,,,,,
North,2,South West,6,30,15,20.55,12.3,8.25,,,,,,
North,2,West,5,20,10,14.9,8.2,6.7,,,,,,
North East,8,CBD,10,25,10,16.35,9,7.35,,,,,,
North East,8,Central,0,30,10,17.8,9.8,8,,,,,,
North East,8,Central East,1,20,8,13.8,7.2,6.6,,,,,,
North East,8,East,4,20,10,14.9,8.2,6.7,,,,,,
North East,8,North,2,20,8,13.8,7.2,6.6,,,,,,
North East,8,North West,9,25,10,16.35,9,7.35,,,,,,
North East,8,South,3,25,12,17.45,10,7.45,,,,,,
North East,8,South East,7,25,10,16.35,9,7.35,,,,,,
North East,8,South West,6,30,15,20.55,12.3,8.25,,,,,,
North East,8,West,5,40,20,26.2,16.4,9.8,,,,,,
North West,9,CBD,10,25,10,16.35,9,7.35,,,,,,
North West,9,Central,0,30,10,17.8,9.8,8,,,,,,
North West,9,Central East,1,25,12,17.45,10,7.45,,,,,,
North West,9,East,4,35,20,24.75,15.6,9.15,,,,,,
North West,9,North,2,20,8,13.8,7.2,6.6,,,,,,
North West,9,North East,8,25,10,16.35,9,7.35,,,,,,
North West,9,South,3,30,15,20.55,12.3,8.25,,,,,,
North West,9,South East,7,35,18,23.65,14.6,9.05,,,,,,
North West,9,South West,6,20,8,13.8,7.2,6.6,,,,,,
North West,9,West,5,15,10,13.45,7.4,6.05,,,,,,
South,3,CBD,10,20,8,13.8,7.2,6.6,,,,,,
South,3,Central,0,20,8,13.8,7.2,6.6,,,,,,
South,3,Central East,1,25,10,16.35,9,7.35,,,,,,
South,3,East,4,30,15,20.55,12.3,8.25,,,,,,
South,3,North,2,45,20,27.65,17.2,10.45,,,,,,
South,3,North East,8,25,12,17.45,10,7.45,,,,,,
South,3,North West,9,30,15,20.55,12.3,8.25,,,,,,
South,3,South East,7,15,10,13.45,7.4,6.05,,,,,,
South,3,South West,6,20,10,14.9,8.2,6.7,,,,,,
South,3,West,5,30,8,16.7,8.8,7.9,,,,,,
South East,7,CBD,10,20,8,13.8,7.2,6.6,,,,,,
South East,7,Central,0,25,8,15.25,8,7.25,,,,,,
South East,7,Central East,1,20,10,14.9,8.2,6.7,,,,,,
South East,7,East,4,20,15,17.65,10.7,6.95,,,,,,
South East,7,North,2,35,10,19.25,10.6,8.65,,,,,,
South East,7,North East,8,25,18,20.75,13,7.75,,,,,,
South East,7,North West,9,35,10,19.25,10.6,8.65,,,,,,
South East,7,South,3,15,8,12.35,6.4,5.95,,,,,,
South East,7,South West,6,25,15,19.1,11.5,7.6,,,,,,
South East,7,West,5,35,20,24.75,15.6,9.15,,,,,,
South West,6,CBD,10,35,10,19.25,10.6,8.65,,,,,,
South West,6,Central,0,35,10,19.25,10.6,8.65,,,,,,
South West,6,Central East,1,30,15,20.55,12.3,8.25,,,,,,
South West,6,East,4,40,20,26.2,16.4,9.8,,,,,,
South West,6,North,2,30,15,20.55,12.3,8.25,,,,,,
South West,6,North East,8,30,15,20.55,12.3,8.25,,,,,,
South West,6,North West,9,20,8,13.8,7.2,6.6,,,,,,
South West,6,South,3,20,10,14.9,8.2,6.7,,,,,,
South West,6,South East,7,25,15,19.1,11.5,7.6,,,,,,
South West,6,West,5,15,8,12.35,6.4,5.95,,,,,,
West,5,CBD,10,40,15,23.45,13.9,9.55,,,,,,
West,5,Central,0,40,15,23.45,13.9,9.55,,,,,,
West,5,Central East,1,40,20,26.2,16.4,9.8,,,,,,
West,5,East,4,60,30,37.5,24.6,12.9,,,,,,
West,5,North,2,20,10,14.9,8.2,6.7,,,,,,
West,5,North East,8,40,20,26.2,16.4,9.8,,,,,,
West,5,North West,9,15,10,13.45,7.4,6.05,,,,,,
West,5,South,3,30,8,16.7,8.8,7.9,,,,,,
West,5,South East,7,35,20,24.75,15.6,9.15,,,,,,
West,5,South West,6,15,8,12.35,6.4,5.95,,,,,,
CBD,10,CBD,10,10,5,9.25,4.1,5.15,,,,,,
Central,0,Central,0,10,5,9.25,4.1,5.15,,,,,,
Central East,1,Central East,1,10,5,9.25,4.1,5.15,,,,,,
East ,4,East ,4,10,5,9.25,4.1,5.15,,,,,,
North,2,North,2,10,5,9.25,4.1,5.15,,,,,,
North East,8,North East,8,10,5,9.25,4.1,5.15,,,,,,
North West,9,North West,9,10,5,9.25,4.1,5.15,,,,,,
South ,3,South ,3,10,5,9.25,4.1,5.15,,,,,,
South East,7,South East,7,10,5,9.25,4.1,5.15,,,,,,
South West,6,South West,6,10,5,9.25,4.1,5.15,,,,,,
West,5,West,5,10,5,9.25,4.1,5.15,,,,,,
